,columella/root cap (+QC) (cl4),cortex/endodermis (cl2),cotyledon mesophyll (cl13),cotyledon mesophyll (cl3),epidermis (cl6),hypocotyl cortex (early) (cl5),hypocotyl cortex (late) (cl1),hypocotyl cortex (mid) (cl7),provasculature (cl12),provasculature: protophloem (cl15),provasculature: protoxylem (cl9),radicle apical meristem (cl14),radicle epidermis (cl10),unassigned (cl11),unassigned (cl8)
stress: ug_leaf_light,1.0568059419713105,-0.4851589886634744,-1.126559542245192,-1.0639239647474716,0.5005162837053097,0.9677636952611783,-0.8226325782656764,-1.035110795163633,0.7994960058847214,0.9677823260975895,0.6511005615787739,1.1891195848365126,-0.6532755379560491,0.8388241429418437,1.1247871026545615
stress: gcr_40cGy,-0.23180544346160276,0.9674582479729313,0.17955434019165198,1.2683144681762817,1.3368500645737253,0.9326845780545477,1.8043359259001972,0.7618774203504753,-1.310015534997252,-1.7681561087887259,-1.225717334807461,-1.0425386005245234,-0.3507699403673354,-2.0434593174064193,-1.1142463481453178
stress: gcr_80cGy,-0.48727937389051673,-0.44863921839392024,-0.5759023032036198,1.2332864629166616,0.9969941751946495,-0.3020280462304828,1.6047469642199805,-0.5841373198104653,0.26301978393893566,-1.4443213017133352,1.1401162005180387,-0.945131157501428,0.9033629543350694,0.4406783127210585,1.3048402912497277
stress: rad_100Gy_co60_90m_a,-0.6251008679840023,0.7593117584281723,-0.9347974096662672,-0.2904127342649278,0.7037326560366703,0.7891173906915374,0.766802189065343,-1.2073451541613789,1.1194059789209114,0.7554668150763261,0.7330543642195188,-0.6148459588292491,-0.6875565270824583,0.7081839026801414,1.2490102626714812
stress: rad_100Gy_co60_1440m_a,-0.4180271552651172,-0.9897199826776097,0.17489647421599047,-0.59665019550369,-0.7498601256846518,0.6578703032818202,-0.7108586243151364,1.0219162898849972,0.37880357385220476,0.8233183873013699,-0.73412615275696,-1.2968578256570304,-0.19678973583174542,0.7312912189766749,0.6501502679193492
stress: rad_100Gy_co60_180m,-0.8756573151832744,-0.7327872159642956,-0.4182215887736485,-0.0767559882833794,-1.16406822205461,-1.1292977245992988,-0.3326649144695399,-0.5128974883727742,0.25688587383506345,-0.5979828898110545,-0.8985161491085069,0.5598194753796774,-1.1535705665611353,0.5275493477495955,0.3278536085311019
stress: rad_100Gy_co60_90m_b,-0.9934088157970341,-0.5578066886266646,-1.0353568622542795,-1.2970240246876328,0.843429398202977,-0.5560474076229752,-1.5962780723679735,-1.1253927242663042,1.0774587382233198,0.5003235648697971,0.7347776899619438,-0.7097324024849149,-0.8048519110092549,0.8671894711406365,1.080942203876916
stress: rad_100Gy_co60_1440m_b,2.300386770599192,1.4582985186979533,2.0000645584091434,1.4561218063902839,1.051274274659764,1.8718436112018528,0.9279007303215356,1.7019462868872242,0.9944530502106271,1.3072843884829843,1.5794253654647932,1.1854874813242884,1.5521940041945792,0.2676082407908949,-1.6305981501486253
stress: rad_100Gy_co60_90m_c,-0.8774344554412739,-1.1652146143761841,-0.5101714090002388,0.8864325204910867,-1.2177763064234888,-0.9486156819063241,0.9422320047767544,-0.5743733797803378,0.4312712099526299,-0.4575436542536449,-0.9733023354171901,-1.192185934761113,-1.0783942437652148,0.439371214005257,-1.0716612333857687
stress: rad_100Gy_co60_1440m_c,-0.4256054366812281,-0.3991425603662953,0.12531527578752294,0.6816169026970946,-0.7408625516077082,-0.36556855322005155,-0.1587627259454383,0.7116695792255269,0.708308908264142,1.1189601509491776,0.3551913495056847,-1.053244853437073,0.9885083590449572,0.37398343812670093,-0.9546726112495266
stress: rad_10cGy_cs137_24h,-0.7887546609289406,-0.33420090421662096,-0.9437132688800008,-0.8082645621946916,0.5687231520684168,-1.2011051524213645,-0.7536522732928574,-1.0263068193161358,-1.2249713407725742,0.17214422661523937,0.6743257829052314,0.6726403453219775,1.1541028652397116,0.3198572419855438,0.3289233290186455
stress: rad_100cGy_cs137_24h,-0.716714058003383,1.2179137946725123,-0.8347048499993988,-0.7873909053326478,0.9625083729400004,-1.2332421317310678,-0.5191719557156387,-0.8552705578129112,-1.0987517812705692,-1.1463057903719203,-0.7154159697253188,0.8037744666668459,1.0619476900869733,0.1905110330159696,-0.9758600171272028
stress: hypoxia_1pct,-0.9916838245096021,-1.0875153617759774,-0.17014009925304074,-1.2206069494356961,-1.1150075697995203,-1.0798425490953831,-1.070567165930586,-0.7374305717331368,0.8604701942850548,0.7863976529003516,0.6391122422332101,-0.7604172129006358,0.9775440800996333,0.7432790445503169,0.7401457493455497
stress: anoxia_0pct,-0.3947752545653473,-0.6725260154654483,-0.4906155579626565,-0.33121254201065226,0.8438561356044955,-0.6946445443929091,-0.6687017940234499,-0.5847779354260146,0.7285446320859651,0.5069614048170098,0.5533806245033757,0.6851024350509419,-0.6538940884525003,0.4813380645270933,0.565091308702174
stress: submergence,1.6040994472014192,1.638137865433456,-0.6318088679481759,0.8434317719180308,-0.9702237940534288,0.9422681535861702,-0.8586252941167964,-0.9656655406311437,1.2919437532129885,0.24008685893589993,0.974321002774227,0.9627707486123191,-0.9364266855884285,0.4456220066201068,-1.0665884209051706
stress: gravitropism_12h,-0.61058266491576,1.5922200184878665,-0.3642968843615904,-0.4220394950405851,-1.5980414201314808,-0.8344304404727001,-0.3572022053850836,-0.6250574137461522,-1.2702834700416674,-1.0744488772338618,1.50131389115052,1.3567909251840335,-1.305234690688701,-1.8390301848665915,-1.0128378992960776
stress: gravitropism_24h,1.5671813755746684,-1.0968946666365191,1.1538486717929848,-0.3678719861720536,1.0140083512321136,1.179309725134998,0.7117476908600711,0.9940516181023996,-1.6727487651003594,1.031536132592116,-1.1259571866428182,-0.7584354551770276,1.5119732017423289,-1.6862566414576563,-1.0202900318134445
stress: phototropism,1.306946998017132,-0.37195346071628665,1.2739569997593743,0.8897985651520564,0.5849346055354622,-0.8433203281464374,0.7257330692138096,-0.10888618288897489,0.4645368148607865,-1.0482799677130732,-0.7684539150147331,0.6623484881095969,0.9556119822315025,0.4223657566099537,0.3563343700690109
stress: hypergravity_2g,0.12363012979228707,0.7876923280895226,1.2768807677739178,1.333203075816831,-0.8000872987621797,-0.9713041207398411,1.2204839761079893,0.7866692745693127,-1.1211930567383874,0.9341423886423917,0.6299215711216718,-0.857361415535299,-0.30874995486314355,-1.5208451743824412,0.7642606694505895
