Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h
gehring_L3_state::24. ii1',0.4370749883558453,0.3912004704844519,0.8859786939136872,0.3353877288197958,0.3892297003079548,0.8180114953478772,0.752856166390001,0.8237428204814861,1.0,0.9632192746379598,0.7233226837060703,0.25749552255753577,1.0,0.935809875403784,0.985575783667195
gehring_L3_state::24. oi1 flav synth polyester,0.6739546003178257,0.7486944379136655,0.5048213464607395,0.1844905320108205,0.3635911749402347,0.239782780694814,1.0,0.9164080538245736,0.8141860128733638,0.9534572881993671,0.4322683706070288,0.627444107413958,0.6990588162741894,0.6671000624089869,0.6583913324244816
gehring_L3_state::25. ii2 gen,0.9972439207951628,0.6694693775646214,0.8697498264405435,0.8152799409787689,0.981062233246494,0.9356640518904435,1.0,0.7838195560099314,0.8915761574753573,0.8121320859498483,0.47587859424920126,0.6520206555904805,1.0,0.6637183859050866,0.9978474564109924
gehring_L3_state::25. oi2 gen,0.8880998206266284,0.4173072767126671,0.7989771850165367,0.5569864777849324,0.9615687961089968,0.8092505194534345,1.0,0.7826894288346384,0.8745289007818839,0.36601307189542487,0.4558833584715938,0.49401910891583095,0.9423536930521319,0.9028610982925704,0.8476992620639029
gehring_L3_state::26. oi1 flav synth,0.6291974460025052,0.249281536733518,0.7914311216899731,0.1212075300178023,0.9630563715980266,0.8316550384809034,1.0,0.856686626746507,0.6207549319474509,0.03157759835960528,0.002081447963800905,0.033200840415329266,1.0,0.7693342656157303,0.9212723623504471
gehring_L3_state::27. oi1 basal,0.6379834880247308,0.4669749959248119,0.839435127466419,0.3569128874988502,1.0,0.8899934142674305,1.0,0.8588466449454034,0.6313169924603006,0.1933322348547262,0.06401608848667673,0.06503695625833031,1.0,0.6719637257394695,1.0
gehring_L3_state::27. oi1 flav synth high PCD,0.4110433615293795,0.4735601143346407,0.8786282714231374,0.0418544752092723,0.5029505442730873,0.2932494870925425,0.622227465785748,0.9310152422427872,0.6408946302901763,0.7699514201922174,0.024699849170437407,0.4416602895324348,1.0,0.6938576932856109,0.9892093787121411
gehring_L3_state::28. oi1 flav synth high PCD,0.5459899689968049,0.5982595750937294,0.8183599561142516,0.3389026332734605,0.982884917916064,0.9248356673335238,1.0,0.8000637239035441,0.6379261107847113,0.1210498172674524,0.09004189710072062,0.06579816808495881,0.9548558920264635,0.6585122225854491,0.9109815540475963
gehring_L3_state::28. oi1 flav synth s-phase,0.6004949133901567,0.2808400107819353,0.9994545274223942,0.0667330094245741,0.3611588418971602,0.2197470227391826,1.0,0.7198533088848141,0.012339728140364407,0.18620696821388863,0.0029887457941756585,0.040746485964267734,0.3387682506630971,0.7407009068565132,0.23396731339004112
gehring_L3_state::29. oi micr,0.7738612409495005,0.740935822980225,0.7348283440988185,0.8952209197475203,0.6983477804829171,0.2327155609900341,1.0,0.7636771910724007,0.794864070182204,0.23492795811134912,0.13975944618478556,0.014497402014240811,1.0,0.6355835240274599,0.9524108488196886
gehring_L3_state::3. EMB inn cotyl,0.8528370693023458,0.0976990369771374,0.875017355945651,0.3290846156083655,0.3412227703564104,0.0,0.000873053327041057,1.0,0.6169247083775186,0.02989830826186794,0.7419808306709266,0.431052584768834,0.3387323070821248,0.6078441249418323,0.8696920398352352
gehring_L3_state::3. EMB low proto,0.6486524432692364,0.2326797660180002,0.8497043035952281,0.8271624812191457,0.1179812648966243,0.4081363734445803,0.5240887766149405,0.16336056009334887,0.05701615457713019,0.05527416991235255,0.73677880097726,0.5389630037355171,0.05853668901188794,1.0,0.6234540762687566
gehring_L3_state::3. EMB sus,0.3860217216411906,0.7544495903681377,0.5681179543125392,0.9411481815449354,0.5593185891395525,0.2478807246123652,0.011224971347670734,0.27671278546424405,0.5023371114569418,0.1235764022384553,0.7451641010746443,0.7778661591863207,0.15527626979995535,0.950019358343157,0.6313840608402398
gehring_L3_state::30. oi1 flav synth g2m-phase,0.6580096102229729,0.4693421699964374,0.8956812304030394,0.0214638334406525,0.3400055429299928,0.2868877220743724,1.0,0.7807967994665778,0.0,0.014167045308913821,0.4586241276171486,0.010042471186948062,0.6435338737264817,0.6569836426815832,0.5983533813028222
gehring_L3_state::30. oi1 flav synth s-phase,0.5043239172275287,0.6320302028460685,1.0,0.1094655505473277,0.9990233598349652,0.905713320689028,0.550896649362907,0.7760104790419161,0.3303004816882024,0.6884376694583358,0.0277526395173454,0.5049385394435671,0.9974740558142366,0.6377235358928723,0.9345585123086796
gehring_L3_state::31. oi2 LTP,0.7088603244432224,0.0762909442244882,0.8215560844986611,0.8660115235897358,0.9567618855091508,0.8226120628788091,0.9559060877772535,0.8051341890315052,0.732684001498215,0.15633458770713674,0.024539175994284353,0.013108067654542734,1.0,0.6146339341871079,0.8264857363361608
gehring_L3_state::31. oi2 gen I,0.3865945681727919,0.1488764733269622,0.8523504909253199,0.1149388280746941,0.4074134660752405,0.7128179308284323,1.0,0.756267458717867,0.01640622945934813,0.029618237999629773,0.07215686274509804,0.0019515733480708784,1.0,0.5874332570556827,0.7671228603248782
gehring_L3_state::32. oi2 VLCFA synth,0.5575107689487674,0.077695279636028,0.6196072597441238,0.1578879587894398,0.4823401119219374,0.5497477420084051,1.0,1.0,0.18046852405282948,0.03136048729372564,0.018501759678230267,0.0,1.0,1.0,0.7635215613116165
gehring_L3_state::32. oi2 gen,0.6330915166768892,0.0191869440564581,0.8751115739363283,0.3326894183301137,0.7718826678824681,0.8580410729596212,1.0,1.0,0.6823451365752352,0.056730317399290874,0.5395906054729583,0.0008456817841640474,1.0,0.3338418510043224,0.4831742842792566
gehring_L3_state::33. oi2 VLCFA synth,0.8082676198331958,0.1427673686781616,0.8518591465484368,0.7225428313796214,1.0,0.8448914849880942,1.0,0.9170063890076988,0.8163798025940124,0.9447088831314896,0.5137602267014032,0.33647884321436183,1.0,0.5911247775235189,0.7497165817607806
