Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h,hypoxia_1pct,anoxia_0pct,submergence,gravitropism_12h,gravitropism_24h
gehring_L2_celltype::ii2,0.997672310798006,0.659537360014687,0.8694048204623709,0.8123615890429627,0.980895331573738,0.9356362572165908,1.0,0.7787437052743176,0.8598642382523065,0.8123368920521945,0.4370501823917972,0.6523357068684171,1.0,0.6611383050196755,0.9978649206462172,0.6615297876339034,0.5715579710144928,0.7577383765544088,0.10750676839773567,0.6529717163889965
gehring_L2_celltype::oi1,0.6792341568499128,0.4002261783160659,0.8898437410631556,0.2034482106020174,0.9675613894518544,0.8442977441760403,1.0,0.8673251118629269,0.6275856598244575,0.0443684429449554,0.0035034082068969,0.0383928870513133,0.9328347587563238,0.6773347749695904,0.9900061112982376,0.7229977903083962,0.8366228070175439,0.6384443451050513,0.46987765277524157,0.662247191011236
gehring_L2_celltype::oi2,0.4256210460296684,0.0530210041115526,0.905296306593383,0.1203506978995777,0.4054231276806334,0.9706912259853436,0.9989503303372174,0.5747033285094066,0.0998660799693896,0.043769821095698,0.1443477423224953,0.000931282862747,1.0,0.6686613055818355,0.8386117239579627,0.295813497333633,0.5166802693327892,0.3452573718107915,0.003399295860143256,0.13534130893736807
gehring_L3_state::1. EMB up proto,0.3649425287356322,0.0253903399970815,0.5765961633054599,0.9956475077510136,0.9181788188716596,0.8176054664289959,0.9942047649710238,0.7750870986761002,0.0575293442420013,0.0534981033201673,0.0,0.0108467062837596,0.847121469134892,0.0436249285305889,0.3526400606692577,0.0,0.4103448275862069,0.9077095647278928,0.02157245449706297,0.7736326530612245
gehring_L3_state::1. EMB up proto I,0.9962027914614122,0.0578335522155746,0.578132685686178,0.9800788428894096,0.3346721558389396,0.3709462915601023,0.947298033582644,0.3738221579031998,0.1839487277597092,0.1542876822408449,0.0,0.043633341186942,0.3355763699387861,0.8832547169811321,0.1418143899895724,0.0,0.5703359858532272,0.3187233468860648,0.007648415685322326,0.26448979591836735
gehring_L3_state::1. EMB upp proto,0.6466637910518801,0.0238034437472639,0.8060188704556633,0.7156975462248402,0.3707192345760475,0.0,0.0,0.8309987631416202,0.6291413313813727,0.0387879512311737,0.8387346657089336,0.30758942552445,0.1044324802714064,0.8270622156147227,0.9109384936441214,0.2127243255760102,0.8026729559748428,0.3133896430840176,0.007648415685322326,0.212436974789916
gehring_L3_state::10. CZE cyst photo,0.5112710878417684,0.2795822665587731,0.6034848083544591,0.3397581828299691,0.4758924447377103,0.0,0.056586469979902,0.7677805114140517,0.7826104771465449,0.1473648298669216,0.5141827500752759,0.1671378831906594,0.3266623118013338,0.6342163355408388,0.8720828669586765,0.7507917373270948,1.0,0.106591168727959,0.31358504309821533,0.7977664283282261
gehring_L3_state::10. CZE nodule,0.6919069836176321,0.0439041295782868,0.1084604033448106,0.1724961401835139,0.9704826681072144,0.8417179564793328,0.5449862436340221,0.8354137291280148,0.8649433529327405,0.7397038608654076,0.4043055997362804,1.0,1.0,0.6796386775702752,0.9021630562556598,0.8701183987972186,1.0,0.0630095578687442,0.32181302382216925,0.40631292517006806
gehring_L3_state::10. PEN,0.5964975119098156,0.2773618662724672,0.811983048923531,0.3236872163275121,0.6698726257246548,0.8328882755448221,1.0,0.7975900587507729,1.0,0.054661921708185,0.508801426914086,0.2586515614061113,1.0,0.5855912961210974,0.8753825350508859,0.1703182194672295,0.5291777188328913,1.0,0.23619036056816803,0.8517334644701253
gehring_L3_state::11. CZE cyst disacc,0.5279483823331991,0.6550540677536538,0.625860796851943,0.8429968819413305,0.8548778011826511,0.7965878644602048,0.8749299637902341,0.8896495312401685,0.6720365855601766,0.532562978125747,0.6028541851523218,0.1349778099193987,0.645379992408966,0.6481092039464792,0.8155506601367444,0.9230056732661804,0.9123823924731184,0.2929944440896609,0.26629645149541603,0.216569222283508
gehring_L3_state::11. MCE,0.6483342682622788,0.57232028115083,0.877907385285644,0.9867164891023062,0.7040580666446717,0.906768525592055,0.3320473593188772,0.8039792719595675,0.6177392532854556,0.7512436961397038,0.3832728578345238,0.130181455494639,0.799703069034846,0.620140370948934,0.9612940614292832,0.7360380254338157,0.960900821596244,0.7343124742203477,0.7434851228022022,0.03817896389324961
gehring_L3_state::11. PEN g2/m-phase,0.4465907478359586,0.5252616118964567,0.6862763466042154,0.2043944813490035,0.3730911533204505,0.2192592592592592,0.0015963815351869,0.0064833574529667,0.0,0.0,0.5506944570197201,0.0,0.1585135861262419,0.8496499526963102,0.4022371788795146,0.0497501803510834,0.9989068930041152,0.709274501038681,0.804828022466023,0.21532879818594103
gehring_L3_state::12. FUN hil,0.8899904121690044,0.8752946326640972,0.8422418975788382,0.5834153152078861,0.1484658528538436,0.3416399286987522,0.9871763991236614,0.7852071737786024,0.8152875376452029,0.8325696602650943,0.3981890928750214,0.8496119188479645,1.0,0.6449385052034059,0.8712052058804419,0.0196391655703815,0.4917763157894737,1.0,0.41833036712911903,0.4098789346246974
gehring_L3_state::12. MCE_ESR shea promo,0.4195104088755921,0.1404442812557371,0.0671421544515494,0.8162831954678014,0.8644671725503134,0.815960329816064,0.8758196983537285,0.691956003180493,0.9095349921124336,0.1620631125986134,0.1538938980451533,0.5194609177438997,1.0,0.6388548393731233,0.847092733613266,0.0622940550021925,0.7282801418439716,0.3144091789599165,0.9038045519903622,0.026122448979591838
gehring_L3_state::12. PEN gen I,0.9364031975781656,0.3201563184007004,1.0,0.897097013541087,0.3800725833058396,0.7011764705882353,0.5791672209658109,0.0046309696092619,0.0,0.0155905778681579,0.8194457019720044,0.0,0.0101531578041645,0.9708691538809592,0.3599443199904206,0.2659804014441041,0.7360026041666666,1.0,0.6005239928411142,0.3022740524781341
gehring_L3_state::13. FUN epid,0.7187965172980187,0.0516270246607325,0.0800936768149882,0.0717346016272945,0.9959463673214842,0.8396691622103387,1.0,0.8551506380739377,1.0,0.9386558263037464,0.0773895723090864,0.105607476635514,0.9391940064886356,0.5871625063678044,0.8944457435668025,0.4524588110004385,0.6694444444444445,1.0,0.0476901213320098,0.22823652537938255
gehring_L3_state::13. MCE_ESR high pcd,0.6367863975030206,0.3797715044272782,0.1144859813084112,0.4318294095601512,0.9828439458924448,0.8402689125295509,0.5324646578469824,0.793037914466486,0.6719796767122165,0.4700394453741334,0.691399416909621,0.6085351456262672,0.666345082452465,0.731680857773573,0.987925274227387,0.0206728058635594,0.6244791666666667,1.0,0.21170727705308062,0.0
gehring_L3_state::13. PEN g2/m-phase,0.0108556832694763,0.8542849867047264,0.8591683173581846,0.0217169136433316,0.0847669321770278,0.0026381461675579,0.0,0.0046309696092619,0.0,0.0,0.791866457441833,0.0,0.0304594734124935,0.6516934720908231,0.1118047749955987,0.0021998379066805,0.9749710648148148,0.4043113296577757,0.22680857377955835,0.2813721233174121
gehring_L3_state::14. FUN cc,0.4608496016541993,0.0525942757082404,0.8307962529274004,0.2339464583830193,0.0108874958759485,0.8217544658095348,0.9899380150507,0.9931185697419465,0.9982790764376882,0.4298118962887646,0.7722132545151417,0.7477478061363371,0.9177034359535944,0.9593148010225648,0.9961382912557668,0.6227285212438379,1.0,1.0,0.3560337501517543,0.1816326530612245
gehring_L3_state::14. MCE_ESR gen,0.5283990040320153,0.4354952922972016,0.6264688200251408,0.2139975355751649,0.6926053728953817,0.6915602836879433,0.9529703118149444,0.8863813057690608,0.8922510636263685,0.5910880775929784,0.5271577603574492,0.4503469012814808,0.811980664749121,0.6762686849574266,0.789149052261998,0.0117145899893503,0.2939814814814814,0.3259592005844063,0.9198242797854307,0.016326530612244896
gehring_L3_state::14. PEN gen II,0.8795512227046354,0.6417923103316362,0.86096901131333,0.315174693408278,0.7130431774885324,0.2919148936170213,0.3639269616410633,0.9828268210323202,0.8305897335591033,0.7512397911813599,0.6832993468143969,0.5929497801639381,0.6566192197064681,0.8301284608633208,0.9309031719571154,0.7516374733290329,0.6587239583333334,0.643658653008342,0.35114726235279836,0.3536388140161725
gehring_L3_state::15. OVL senes,0.1892997382198953,0.1200660914264732,1.0,0.0236969022444815,1.0,0.9803499786598378,0.92802979912199,0.7315438121469586,0.968106949103336,0.1457997692523568,0.7917225893409247,0.050730408575957,0.9610113500398038,0.6010541965130423,0.8409954396894828,0.013230595752678,0.1354166666666666,0.6588025451642103,0.19437607679054886,0.0513543599257885
gehring_L3_state::15. PEN,0.8127915939499709,0.3904341827733043,0.8871885171269792,0.4037201956803731,0.9821272141890124,0.509692671394799,0.934262131944038,0.7846524917436639,0.7591782589989962,0.933836806526925,0.6411951999888089,0.4100794523416843,0.7765187832301926,0.653978403418915,0.8515296953953455,0.0637208839559127,0.3617788461538462,0.048517359558933,0.14601520853797167,0.2690612244897959
gehring_L3_state::15. PEN gen III,0.9761633939974458,0.9440925549496232,0.8497424081600953,0.33356043831261,0.7308231606730453,0.3060170623907904,0.952427120529181,0.3492295905337533,0.6838478529314573,0.7196477731628474,0.5202972034686242,0.0496445402987459,0.1653514270963935,0.6147377273205088,0.9303608284107892,0.6272129299003947,0.5558894230769231,0.5609309204898536,0.5193506020506141,0.44520408163265307
gehring_L3_state::16. CPT pers nuc,0.6874340665781042,0.5471674412762215,0.5248401377274963,0.5338748471363112,0.9635433850214452,0.6822531996413141,0.1307856071132581,0.8564206464061747,1.0,0.5349104238657192,0.3765051629332641,0.8550700597429569,1.0,0.6656575212866604,0.7748558821436197,0.7563042723167767,0.8404274425287357,0.1606058839154406,0.5925145529781907,0.49204494382022473
gehring_L3_state::16. PEN dehyd,0.6457587616198311,0.5650816963466128,0.8617238639373416,0.0296760835158164,1.0,0.3073601260835303,0.5425023454643545,0.8321852387843706,0.7517632947863838,0.5970993704677663,0.5258424355919138,0.4044408575723961,0.6447813071457883,0.6962812022414672,0.8298716330360453,0.0607263672242059,0.3058035714285714,0.5756683571490965,0.6337827789243657,0.4122850451656072
gehring_L3_state::16. PEN s-phase,0.3821200510855683,0.98540785057639,1.0,0.1285449667858967,0.8499316585756704,0.9303344867358708,0.6655097136934022,0.9438512969510272,0.3118970182295225,0.7460015276700698,0.2538320408139879,0.4361896108391435,0.438959251039788,1.0,0.5500679369292508,0.6694006757396823,0.6885901162790697,0.6382816564925214,0.8593333876319109,0.24402190144350425
gehring_L3_state::17. CPT trans nuc,0.5252764370636999,0.0303273505520696,0.8770831283817019,0.1989898195825635,0.7331702838781862,0.6176559714795008,1.0,0.9471500721500722,0.6167523829887799,0.2138442190886469,0.0597724338972618,0.0059868184033738,1.0,0.6154038014965167,0.8415771119493275,0.3400582764077033,0.8165798611111112,0.0110266726270302,0.15769487711402552,0.49319233311302046
gehring_L3_state::17. CZSC plac phos,0.7844316730523626,0.7834194445172966,0.8312480436435182,0.2352418429809319,0.6784386201343183,0.2275840760546643,1.0,0.8937569573283859,0.7374718635232792,0.8707358459187808,0.7110123552526602,0.8450260838280266,1.0,0.9252866299539588,0.8802754252366379,0.7549864722548252,0.670138888888889,1.0,0.4123492493231602,0.0642612244897959
gehring_L3_state::17. PEN gen IV,0.6867797584420622,0.6609142647328805,0.8033423095200379,0.2761454607392267,0.9285673045199604,0.8123806146572105,0.2952057601123924,0.8139211464473544,0.6241933170801663,0.3162225504593422,0.5431448238097619,0.4448584986263917,1.0,0.7360045002429109,0.8705300819741073,0.4492414570763857,0.2788825757575757,0.583059496453845,0.6002306665047954,0.3503924646781789
