Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h,hypoxia_1pct,anoxia_0pct,submergence,gravitropism_12h,gravitropism_24h,phototropism
gehring_L3_state::13. MCE_ESR high pcd,1.065596137979795,1.2647577529862608,-1.5385084104304556,1.1568957687872634,-0.7265474399086536,0.941254416706755,1.1867724623810365,0.959207889526346,1.3461364102924729,1.1651526788909796,-0.9969269331178674,-0.9641882041882952,-1.0223303951204334,0.9510170573123098,0.6787795588209162,1.718077130964278,1.2612803642402632,0.6543405990729486,1.2776638508879392,1.918964094022959,-0.7678356961755883
gehring_L3_state::13. PEN g2/m-phase,-1.8533641108802776,0.8316669630239111,-0.9242867919317024,-1.8149091107335047,-1.6140917905076315,-1.9279004254600096,-1.9085112234280668,-1.92872146051022,-2.508415115375892,-2.244145507471404,-0.8450640176893475,-2.1047575744807183,-1.6941465278119807,1.0091900536329304,-1.5514252937270423,-1.899242986717904,0.7325387556208025,-1.114048158822592,-1.327275721678948,1.2205765554750032,-1.3141239159593054
gehring_L3_state::14. FUN cc,-1.0982704689316758,-1.6311301610607738,0.9470820297993018,1.3942158698101952,-1.7774542091199652,-0.9605161768554834,0.8436645077300484,1.209717757516833,0.4602436888734995,-1.060775371406687,0.8787335335697273,-0.8732706715931459,0.9022624697177604,0.7225445510849916,0.6991542089160988,1.0616566845898785,-0.6795407127374196,0.6685712638592635,-1.2110113406830336,1.3410201743147054,1.1654441531518736
gehring_L3_state::14. MCE_ESR gen,1.234669142483645,1.2254053348223255,-1.242020061113352,1.3807248297726875,-1.0334568267362765,1.0400614480925836,0.9014726091935176,1.09434949637846,1.1397414314956822,1.0784992343371882,1.0468316632905048,-1.0935926176249244,-0.8835819605007187,1.2446882148212766,0.9897168117549396,1.8283342180263136,1.5069000953413108,-1.1774889873925636,-0.7559745657480191,1.7063853896530086,0.9199271354702533
gehring_L3_state::14. PEN gen II,0.7808554287764334,-0.9423707725187356,-0.9445669157785008,-1.1700829203292844,-1.0197520672236515,1.3170552363581736,1.2816787555975038,-0.8371921420721758,-0.8214475791933429,0.9488744535445512,0.9293931265685814,-0.9782564087772389,-1.005503338408674,0.8670309018588432,-0.8052610553815218,-0.8516191096218756,1.0964193101611257,-0.9728543458867032,-1.1929829331756112,1.1607671734766891,1.3814020113343803
gehring_L3_state::15. OVL senes,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837,-0.7117930880849032,-1.0698057838641792,0.7927836409271787,1.3873490965256252,0.8420251110272094,-1.529659459996763,0.9344072346355315,1.1256254197821312,0.9206720141031732,1.8383314833611744,1.6404424853034658,-0.9314708828289388,1.32582029533517,1.5199912027901306,-0.6498041879548084
gehring_L3_state::15. PEN,0.86339283484845,-1.1482086708390709,-0.7917166706041283,1.1784231858286487,-0.7350294411362271,1.1337507929010198,0.9010964772714456,-0.9834507702278964,1.2279175003799254,0.830464138231351,0.9562828546806096,-1.142773928415638,-0.930791124950532,1.2220336731046673,1.0642340201929057,1.5692518156969577,1.427312336705811,-1.6671206902427822,-1.3939985178145298,1.2359896975969924,1.1687718577382515
gehring_L3_state::15. PEN gen III,-0.7427324445139455,-0.6891755623580483,-1.1216272245556678,-1.1336047757307437,-0.9819918931402576,1.266052000288719,0.9097065130268366,-1.3371602974494108,-0.9602865199888526,-0.922985685154595,1.0574215024085387,-1.5293050828498866,-1.4632656490681093,1.1404421490388938,1.1542797048717215,1.053946647487337,1.2316522084596473,-1.0260512605964158,-1.0779457720034538,1.0755170091743838,0.8083482801885146
gehring_L3_state::16. CPT pers nuc,0.9698209192905742,1.0969545604386393,-1.3022890490601724,1.078692298051765,-0.724756071296273,1.0333881899531454,1.4743239925630962,-0.9107378781691948,0.8168736658016372,1.1176709087860726,1.178018783474631,-0.7862156579368309,1.0980391106829046,1.311913142799655,1.2853111535968906,-0.8567509172490152,0.9060010862453688,-1.377625153277735,-1.0296522619872095,-1.1571893784092429,-0.7619211069049672
gehring_L3_state::16. PEN dehyd,1.0765978605759392,1.1026927958269166,-1.042735084315741,1.6653489117938822,1.1581938626882933,1.2836542386080567,1.149914671613966,-0.9586536215127706,1.0858906838770237,1.069213414525008,1.051536330936828,-1.1483125385869208,-1.0169259856034047,1.3474368876833172,1.190868778815933,1.5825558615172215,1.5338657408744385,-1.0053202460157529,-0.988129226898182,1.1019003268564478,-0.7430967909112584
