Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy
gehring_L3_state::16. CPT pers nuc,0.9698209192905742,1.0969545604386393,-1.3022890490601724,1.078692298051765,-0.724756071296273,1.0333881899531454
gehring_L3_state::16. PEN dehyd,1.0765978605759392,1.1026927958269166,-1.042735084315741,1.6653489117938822,1.1581938626882933,1.2836542386080567
gehring_L3_state::16. PEN s-phase,-1.203893941786563,-0.585495219725461,-0.558272174433963,-1.432623622830713,-0.8788349921075416,-0.7418902929478475
gehring_L3_state::17. CPT trans nuc,1.2162222739728517,-1.7232889114088914,-1.0484895131593752,-1.2868173433783263,-0.9756827531163725,-1.1438638211741312
gehring_L3_state::17. CZSC plac phos,-0.9272672378689997,0.8998438646112318,-1.037115495870055,1.386054040181206,-1.0479261896178667,-1.4518428162286308
gehring_L3_state::17. PEN gen IV,0.9896467752512171,0.9740555809070903,-1.0255233594635573,-1.2039239652879525,-0.8183838285981967,0.8774126383450256
gehring_L3_state::18. CZSC gen,0.9220581832221659,0.8230484112931421,-1.0433255650683453,1.2552041965526095,-1.3110207413031392,-1.0877818673790154
gehring_L3_state::18. CZSC plac call,-1.5582238436661267,-0.9106657711512718,-0.8028499826045941,1.2358453628216173,-1.2274248956590212,-1.018676850301982
gehring_L3_state::18. FUN epid,0.9186735024376529,-0.8007341703479107,-0.734200105963743,1.302829296287578,-0.9320089666239617,-1.025516607409788
gehring_L3_state::19. CPT pers nuc,0.7867965384335275,-1.2477547449910562,-1.112944900917561,1.347718239196708,-1.1210228194562915,-0.8606668904134646
gehring_L3_state::19. CZSC plac phos,-1.3228332978767152,-1.5742260342489813,-0.6945384851803684,1.2194115215289332,-1.4334564493767148,-1.569173120828077
gehring_L3_state::19. ii1 basal cont PS,1.0142420278858753,-1.1397111876032264,-1.0412763323661323,1.5786715017076403,1.0719188651356266,-1.0142300087603997
gehring_L3_state::2. EMB low proto,1.100902034043523,-1.698493531297924,-1.5045665794777408,0.8849957194439099,-1.5395210054158823,2.1859987272688373
gehring_L3_state::2. EMB up proto II,-0.5887201778074872,-1.6790296164938083,-0.8200584580584543,-0.7171449854826795,-0.9971153721024566,-1.3092191624421157
gehring_L3_state::20. CZSC plac call,-1.7631966059036996,-1.19741362295659,1.281590208875597,1.1478402659840141,-0.9849580428522813,-0.9619619888887326
gehring_L3_state::20. CZSC plac phos,-0.6987647757143319,-1.1315903840898178,-0.9805561807025343,1.5392382436880816,-1.2578521527485895,-0.9242859980010333
gehring_L3_state::20. ii1 endothel,0.814377569103123,-0.760572962720472,-1.0032021307537025,1.2400050705560333,0.9870548590388557,-1.0295460920135568
gehring_L3_state::21. CZSC plac call,-1.574329652187454,-1.0734683144702644,-0.6391495059697037,1.2498802701365501,-1.2214177058221938,-0.8685020755409487
gehring_L3_state::21. ii1 endothel,1.3596991007305415,-1.1713828396730708,-1.1777837191434013,-1.6042711806385765,0.8955956586208396,-0.9048211121706321
gehring_L3_state::21. ii1'/ii2,0.7187476899577452,1.3712172198413215,-1.3112935268240613,1.096949288691851,-1.1619793395224713,-1.5610373370017516
gehring_L3_state::22. ii1 basal cont PS,1.2796393185498174,-1.5535061471627654,-0.8190097111410927,-1.119406122069075,-0.9573779850205238,-1.1877651551981843
gehring_L3_state::22. ii1'/ii2  high sene,0.886484777366785,-0.9342187062949823,-1.3286919183124923,1.504357332128525,-1.3298513683720006,-1.442483313382046
gehring_L3_state::23. ii1 endothel,0.9710946728714915,-1.7238070713893014,-0.8906135726223505,-1.5904367911735837,-0.7502137514122692,0.9823575570494643
gehring_L3_state::23. ii1 endothel s-phase,1.0154043526254608,-1.2089700532412657,-1.2360963697385694,-1.509984013601396,0.7779611204894559,-0.9131709711719849
gehring_L3_state::23. oi1 flav synth,0.9979106408887154,0.9834833301635689,-1.275875771653893,1.4441349504413896,-1.0368968484644059,-1.1406443026059137
gehring_L3_state::24. ii1',-1.130528530807158,-1.1268916214912186,-0.867141278472573,-1.1374371987986531,-1.2392043515867344,0.9034165831198872
gehring_L3_state::24. oi1 flav synth polyester,1.011662091700302,0.9290433801113167,-1.3019304836124528,1.455321545263384,-1.3073580351831693,-1.4002695315228526
gehring_L3_state::25. ii2 gen,-0.7516878085361115,0.9948914602986282,-1.0618469107467983,0.8990063814396582,-0.6393850546394125,-0.7491854376618702
gehring_L3_state::25. oi2 gen,0.753563755236405,1.2117539860740378,-0.9760767026721062,-0.9614297922718598,-0.7785511131812795,0.8977202025588139
gehring_L3_state::26. oi1 flav synth,1.100746980888855,-1.290006150590548,-1.0198339803204832,-1.4317422870852818,-0.7855963889635199,-0.8680870207885711
gehring_L3_state::27. oi1 basal,1.1420025288694635,-1.054256330316351,-1.1083299193085456,-1.0879229192388264,0.7650687229464851,0.7561408881221349
gehring_L3_state::27. oi1 flav synth high PCD,1.3559293061474726,-1.054408353199922,-0.8872864055836838,-1.8571103820647195,-1.1525763157278506,-1.3627512507840933
gehring_L3_state::28. oi1 flav synth high PCD,1.2260335569267,-0.9743413268546554,-0.9941794926159914,-1.118572347143451,-0.6182541655110945,0.6876851394055203
gehring_L3_state::28. oi1 flav synth s-phase,1.17975552390095,-1.2601748674856252,-0.4259438330544328,-1.5786732929846368,-1.3292525034017857,-1.4652337129931363
gehring_L3_state::29. oi micr,0.8970268199842407,-0.8672925685088174,-1.1899740499504972,0.821472658345693,-1.0114433474519624,-1.4219745085754756
gehring_L3_state::3. EMB inn cotyl,0.8304244830363895,-1.486101392305783,-0.9108716447795113,1.275408653933969,-1.3642148851650822,2.239033333922742
gehring_L3_state::3. EMB low proto,1.0829562240962634,-1.3076353607973918,-0.93336487279689,-0.8194427375742246,-1.5811065501603767,-1.2763603444384175
gehring_L3_state::3. EMB sus,-1.1890756273152812,-0.853830877593808,-1.3127457852140703,0.7709351562627198,-1.1209896279353926,-1.5383689039565984
gehring_L3_state::30. oi1 flav synth g2m-phase,1.106783089044489,-1.068753005153658,-0.806046539102731,-1.7756875299952242,-1.3481114535195466,-1.4725973470654408
gehring_L3_state::30. oi1 flav synth s-phase,1.279004900183914,-0.9513336677742932,-0.487468753586293,-1.416337350886051,-0.6725906658666836,0.774034259250609
gehring_L3_state::31. oi2 LTP,0.9713441693781648,-1.5147412632458264,-1.0351324934218666,0.8442076052942876,-0.7684102354850062,-0.9470769064526217
gehring_L3_state::31. oi2 gen I,1.4415105825154206,-1.405795886455013,-1.1102340237442268,-1.418178249942168,-1.2395375286109866,-1.0576509237067182
gehring_L3_state::32. oi2 VLCFA synth,1.254980150591891,-1.5171275342082267,-1.3337087574932573,-1.3374900984810483,-1.1739595405958763,-1.198718238812365
gehring_L3_state::32. oi2 gen,1.063783512251688,-1.8145655910775609,-1.093110739967229,-1.151937910351583,-0.9475822925168258,0.8269882269559611
gehring_L3_state::33. oi2 VLCFA synth,0.8614883631016551,-1.4324386955407835,-0.9431598813341433,0.9857124987688382,0.7866097814163758,-0.8818026677396797
gehring_L3_state::33. oi2 gen II,1.220057585177362,-1.0260696427484899,-0.8744211237587748,-1.520280239938858,-1.366028676104808,-1.0741139709141472
