tair_id,nmf_shoot_late_log2
AT2G28190,-0.2665
AT2G34555,1.3219
AT2G34790,0.2284
AT2G34810,0.2284
AT2G35380,0.5905
AT2G37040,0.189
AT2G38240,0.5657
AT2G38960,1.3219
AT2G39040,0.07085
AT2G41510,0.2284
AT2G43480,0.7577499999999999
AT2G44800,1.3219
AT2G45300,0.0426
AT2G46740,0.4504
AT2G46750,0.2284
AT2G46760,0.2284
AT2G48080,0.5657
AT3G01190,0.43855
AT3G03080,0.5657
AT3G03670,0.7535
AT3G04390,0.2284
AT3G09640,-0.10554999999999998
AT3G11180,0.3145
AT3G12900,0.2284
AT3G13390,0.3145
AT3G13400,0.2284
AT3G14140,0.2284
AT3G14160,0.2284
AT3G22360,0.4504
AT3G22370,-0.2553
AT3G25760,0.2284
AT3G28490,1.3219
AT3G42570,1.23435
AT3G43600,0.2284
AT3G45810,1.2818
AT3G46480,0.2284
AT3G46490,0.2284
AT3G46500,0.2284
AT3G47190,0.2284
AT3G50990,0.8218000000000001
AT3G51240,0.275
AT3G55120,-0.0291
AT3G55970,0.2284
AT3G56350,0.5657
AT3G56840,0.2284
AT3G57620,0.5657
AT3G59845,1.3219
AT3G63440,0.2284
AT4G00040,0.0144
AT4G10490,0.2284
AT4G12270,0.2284
AT4G12280,0.2284
AT4G13660,-0.3771
AT4G16270,0.43415
AT4G17690,0.63755
AT4G20800,1.3219
AT4G20820,0.2284
AT4G20830,0.2284
AT4G20840,0.2284
AT4G20860,0.2284
AT4G21830,-0.2553
AT4G21840,0.2284
AT4G21850,0.4504
AT4G21860,0.2284
AT4G22880,0.0841
AT4G23420,0.2284
AT4G25090,0.33965
AT4G25100,0.2284
AT4G25300,0.2284
AT4G25310,0.4504
AT4G26010,0.4218
AT4G28090,1.3219
AT4G28220,0.2284
AT4G29740,0.2284
AT4G33870,0.3722
AT4G34850,0.251
AT4G34890,0.2284
AT4G34900,0.2284
AT4G35420,-0.0589
AT4G35820,0.2284
AT4G37160,0.4504
AT4G39230,-0.1047
AT5G01050,0.4504
AT5G03260,0.2284
AT5G05270,0.1763
AT5G05340,-0.19180000000000003
AT5G05600,0.5657
AT5G07200,0.2284
AT5G07480,0.2284
AT5G07990,-0.1361
AT5G08640,0.263
AT5G09360,1.3219
AT5G11540,0.3145
AT5G13930,0.189
AT5G14130,0.64805
AT5G16960,0.2284
AT5G16970,0.2284
AT5G16980,0.2284
AT5G17000,0.2284
AT5G17030,1.1243
AT5G17040,0.0286
AT5G17050,0.111
AT5G17820,0.3272
AT5G19880,0.30035
AT5G19890,0.3195
AT5G20080,0.4504
AT5G20960,0.2284
AT5G22410,0.4504
AT5G23980,0.2284
AT5G23990,0.5657
AT5G24070,0.307
AT5G24140,0.2284
AT5G25450,0.2284
AT5G37940,0.2284
AT5G42800,1.2141
AT5G43935,1.3561
AT5G44360,0.2284
AT5G44380,0.2284
AT5G44390,0.2284
AT5G44400,0.2284
AT5G44410,0.2284
AT5G44440,0.5657
AT5G45180,1.3219
AT5G48100,0.4504
AT5G48440,0.2284
AT5G51060,0.33985
AT5G51930,0.4504
AT5G54000,0.2284
AT5G54160,0.1506
AT5G56470,0.5657
AT5G56490,0.2284
AT5G56970,0.2284
AT5G58400,0.1022
AT5G58910,0.4504
AT5G60010,0.6092500000000001
AT5G63580,-0.074
AT5G63590,0.2869
AT5G63595,0.275
AT5G63600,1.0909
AT5G64100,0.53035
AT5G64110,0.1291
AT5G64120,-0.054650000000000004
AT5G64210,0.2284
AT5G65550,0.8953
AT5G66220,1.8074
AT5G67290,0.2284
AT5G67400,0.3018
