gene,log2FC
AT1G05200,-1.5905880217041997
AT1G05205,0.006899288165692453
AT1G05210,0.03187530222220363
AT1G05220,-0.4007523428639782
AT1G05230,-0.5479337072304001
AT1G05240,-1.305512307347435
AT1G05250,0.10186136517845508
AT1G05260,0.4387590421169743
AT1G05270,0.06776414023065432
AT1G05280,-0.4936521280409703
AT1G05300,0.18673901996575204
AT1G05310,-1.604741807190281
AT1G05320,-0.9839649340031762
AT1G05330,0.835227615318134
AT1G05340,1.4136531225769902
AT1G05350,0.9165862756868363
AT1G05360,0.049378345271219086
AT1G05370,-0.36887442104187684
AT1G05380,0.3830005056496239
AT1G05385,-0.6133046787478614
AT1G05400,0.3490666357036986
AT1G05410,-0.017171978997485352
AT1G05420,2.334183155359196
AT1G05430,-0.2034009181367265
AT1G05440,-0.13222967785267112
AT1G05450,0.5509442525732
AT1G05460,-1.006825649101931
AT1G05470,-0.5342324907307544
AT1G05490,-0.0001796013383808578
AT1G05500,0.05986290135110342
AT1G05520,0.742333154389319
AT1G05530,1.235403458689026
AT1G05540,-0.5261881532618111
AT1G05550,-0.8598760528247718
AT1G05560,-1.7544317339936448
AT1G05570,0.04876092458852294
AT1G05575,3.334019024890121
AT1G05577,-0.44440967489313726
AT1G05590,-0.21831163790673408
AT1G05600,-0.7766777825730137
AT1G05610,0.6831989473693728
AT1G05620,-0.19923945273142438
AT1G05630,0.06517536620629805
AT1G05640,-0.12412260214343612
AT1G05650,-2.6826615294764204
AT1G05660,0.020517561205540606
AT1G05670,-0.614304838859294
AT1G05675,4.44850464688484
AT1G05680,-0.16979015572436246
AT1G05690,-1.2437798325859604
AT1G05700,0.18242644064082217
AT1G05710,0.5432203377845015
AT1G05720,0.43040976743688175
AT1G05730,1.4926219703123278
AT1G05740,-0.0018407054280741453
AT1G05750,-0.18847624922504697
AT1G05760,-0.6939424273685096
AT1G05770,0.40295470251673293
AT1G05780,0.8842657221338304
AT1G05783,-0.8046945248979834
AT1G05785,0.1376923670452148
AT1G05790,-0.7456404354300532
AT1G05805,0.4382949387356799
AT1G05810,1.0956617023975923
AT1G05820,0.8894960945289263
AT1G05830,0.035825532025462146
AT1G05835,-0.6455936913570155
AT1G05840,-0.4527349283134347
AT1G05850,0.495720875007456
AT1G05860,-0.35219966733103747
AT1G05870,0.05259461523667817
AT1G05880,4.467308975588321
AT1G05890,-0.3581491010431537
AT1G05894,-0.1983138267051574
AT1G05900,-0.10946153042539183
AT1G05910,0.0003667835892115324
AT1G05940,-0.40553562767133183
AT1G05950,-0.9892214619694347
AT1G05960,0.06696945387002046
AT1G05970,-0.610253784728707
AT1G05990,-0.8717436517671335
AT1G06000,-0.33417909124371725
AT1G06010,-0.20420643040674596
AT1G06020,-0.7502826322086569
AT1G06030,0.41079936131274986
AT1G06040,0.05350192037000648
AT1G06050,0.4719521978045705
AT1G06060,0.24833743933400784
AT1G06070,0.12136199870275372
AT1G06080,-1.1101229044231977
AT1G06090,0.329246645619542
AT1G06100,-3.41408491297642
AT1G06110,-0.8826501557640941
AT1G06120,-0.7700088846576598
AT1G06130,-0.519147966877676
AT1G06135,2.696276678122706
AT1G06140,0.34151469797595574
AT1G06143,0.06045033247677454
AT1G06150,-0.18064197867901768
AT1G06148,1.4328672724281533
AT1G06160,0.9179607959572963
AT1G06170,-3.6464673130340506
AT1G06180,-0.45932247141741706
AT1G06190,-0.25755283694879405
AT1G06200,-0.0787881997513431
AT1G06210,0.5063217170651535
AT1G06220,-0.08138115473566293
AT1G06225,4.405172770137137
AT1G06230,0.18461078240656878
AT1G06240,-0.8906127001526156
AT1G06250,0.011505692393255334
AT1G06260,-0.7056303469554773
AT1G06270,-0.41309713986451296
AT1G06290,0.23753960975609098
AT1G06310,-0.15932502473650675
AT1G06320,1.5646225011114954
AT1G06330,1.9253501554376078
AT1G06350,-1.00703621752066
AT1G06360,-0.06283492318120924
AT1G06380,0.20330553676673652
AT1G06390,0.071033467713558
AT1G06400,0.2629995373385957
AT1G06410,0.9942484534135902
AT1G06420,-1.4777184742215703
AT1G06430,-0.41407328495239026
AT1G06440,1.2404269634520522
AT1G06450,0.13614897053268796
AT1G06460,-0.5863176750028832
AT1G06470,0.5157573113101475
AT1G06490,-0.13697973669347913
AT1G06500,-0.404903873281294
AT1G06515,0.9601153929804188
AT1G06510,-0.0006052462228316529
AT1G06520,2.4567285272920034
AT1G06530,0.15718294224641458
AT1G06540,0.4826844045445224
AT1G06550,-0.18960797668174204
AT1G06560,-0.4346743057648858
AT1G06570,-0.13085640653640518
AT1G06580,0.9890267288979155
AT1G06590,-0.1422074326105701
AT1G06620,0.7025507509267139
AT1G06630,0.3658206411864123
AT1G06640,0.8347849073561027
AT1G06645,-0.06631956984214069
AT1G06650,-0.1351369664520005
AT1G06660,0.31356057422559946
AT1G06670,-0.32584848776474246
AT1G06680,-0.5940903979985226
AT1G06690,0.08367128368261097
AT1G06700,-0.13947782001982972
AT1G06710,0.0989559535464521
AT1G06720,-0.009964432401604842
AT1G06730,0.03321233565347865
AT1G06740,0.4180258956294288
AT1G06750,0.6085570330306507
AT1G06760,0.7697742277338083
AT1G06770,-0.20778953500807643
AT1G06780,0.5314259014881582
AT1G06790,-0.43535170123040595
AT1G06800,0.508940647982894
AT1G06810,2.6623377602122282
AT1G06820,-0.02648430301802864
AT1G06830,-0.4693906981971893
AT1G06840,-0.09497070960371545
AT1G06850,0.44601237966076834
AT1G06870,0.6403265112357064
AT1G06890,0.42897610792529867
AT1G06900,-0.1367488387094753
AT1G06910,-0.07441993085222214
AT1G06923,0.24538301896117706
AT1G06925,-3.5577547003633283
AT1G06930,0.30127779868966237
AT1G06950,-0.15795927160848905
AT1G06960,0.14988762885138573
AT1G06970,-1.8786337462865927
AT1G06980,-0.957220578918288
AT1G07000,2.4982754942266845
AT1G07010,-0.5529130816545403
AT1G07020,0.5164681156821922
AT1G07030,-0.04064302829882608
AT1G07040,0.010626287217030742
AT1G07050,0.6333111508406435
AT1G07060,-0.6064180810555186
AT1G07070,-0.10476890770237582
AT1G07080,-0.4784128024435453
AT1G07090,-0.6705750792076126
AT1G07110,-0.10629205372283493
AT1G07120,0.060034462950504394
AT1G07130,1.4961575988942042
AT1G07135,4.7028552435055655
AT1G07140,0.4295881478943341
AT1G07150,2.6056632488663785
AT1G07160,5.332284610468229
