panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
germ_cluster,10,AT3G16400,14,4.461191177368164,4.5174189715000464e-86,19.932941436767578
germ_cluster,10,AT4G39330,15,4.904160976409912,9.28400183394766e-84,19.657867431640625
germ_cluster,10,AT5G15230,16,2.4688467979431152,6.10287052265185e-82,19.43642807006836
germ_cluster,10,AT5G43760,17,3.871133804321289,6.901373951058117e-82,19.429508209228516
germ_cluster,10,AT1G56580,18,2.967636823654175,6.387935645824044e-81,19.311420440673828
germ_cluster,10,AT3G15950,19,3.583034038543701,2.40840182212371e-77,18.874313354492188
germ_cluster,10,AT2G26250,20,3.224923849105835,2.919189643840622e-66,17.45416831970215
germ_cluster,10,AT3G10720,21,3.4775290489196777,3.314077551929029e-66,17.446537017822266
germ_cluster,10,AT4G02380,22,1.0019490718841553,5.517215346620543e-66,17.415876388549805
germ_cluster,10,AT1G09310,23,4.78903341293335,1.0272185838020012e-65,17.3795223236084
germ_cluster,10,AT5G26280,24,3.0732598304748535,4.0284677361237485e-65,17.300235748291016
germ_cluster,10,AT4G23670,25,5.324013710021973,3.597371612664955e-64,17.172542572021484
germ_cluster,10,AT4G30470,26,3.4329993724823,9.278796966547267e-63,16.981069564819336
germ_cluster,10,AT4G18970,27,4.888315200805664,1.3901790785938847e-62,16.956619262695312
germ_cluster,10,AT3G04290,28,6.643363952636719,1.415826449275237e-61,16.817922592163086
germ_cluster,10,AT5G22500,29,4.809938430786133,2.015709238520609e-60,16.657434463500977
germ_cluster,10,AT3G16460,30,3.210606336593628,3.5337176642011193e-57,16.19925880432129
germ_cluster,10,AT5G42980,31,0.5990874171257019,4.637210719882064e-54,15.744828224182129
germ_cluster,10,AT4G21620,32,3.762129068374634,2.7243996900033314e-53,15.631251335144043
germ_cluster,10,AT1G17200,33,3.4452874660491943,3.049458423476294e-52,15.474875450134277
germ_cluster,10,AT1G05135,34,3.335069179534912,1.8894803659837665e-48,14.89681339263916
germ_cluster,10,AT2G20835,35,3.3005294799804688,4.538365589482103e-47,14.680685997009277
germ_cluster,10,AT5G45670,36,3.284564256668091,1.0902676718490866e-46,14.62007999420166
germ_cluster,10,AT1G33590,37,2.5113871097564697,2.74974288127982e-46,14.556174278259277
germ_cluster,10,AT1G02205,38,6.084072589874268,3.9453640811254336e-46,14.530945777893066
germ_cluster,10,AT4G16500,39,1.430254578590393,5.019186060877063e-46,14.513671875
germ_cluster,10,AT1G01120,40,4.153748512268066,8.265538292940081e-46,14.478655815124512
germ_cluster,10,AT4G29020,41,3.43493390083313,9.269310290650782e-45,14.309505462646484
germ_cluster,10,AT1G72970,42,3.680901050567627,2.625381108971765e-44,14.236416816711426
germ_cluster,10,AT3G55120,43,3.345541000366211,4.094039170627056e-44,14.205076217651367
germ_cluster,10,AT3G20370,44,2.9658823013305664,1.4486953216278573e-43,14.115276336669922
germ_cluster,10,AT2G27385,45,4.661099433898926,6.115386161313127e-43,14.012646675109863
