panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
gehring_L1_tissue,Funiculus,AT3G41768,30,0.43725740909576416,1.7405055161312472e-31,12.212044715881348
gehring_L1_tissue,Funiculus,AT3G04730,31,2.85007905960083,1.1826684878022208e-30,12.046487808227539
gehring_L1_tissue,Funiculus,AT3G08770,32,1.382399082183838,1.613197091147356e-30,12.018824577331543
gehring_L1_tissue,Funiculus,AT5G25220,33,1.6539589166641235,4.078223708939223e-30,11.939934730529785
gehring_L1_tissue,Funiculus,AT1G80050,34,3.638413667678833,2.588805833833556e-29,11.780620574951172
gehring_L1_tissue,Funiculus,AT4G39090,35,1.3650988340377808,4.7674764949100297e-29,11.725966453552246
gehring_L1_tissue,Funiculus,AT2G38800,36,3.5214059352874756,7.442293777060723e-29,11.686368942260742
gehring_L1_tissue,Funiculus,ATMG00090,37,1.3027610778808594,1.0266708355828567e-28,11.657212257385254
gehring_L1_tissue,Funiculus,AT2G41430,38,1.2284237146377563,1.6110044688583356e-28,11.617016792297363
gehring_L1_tissue,Funiculus,AT4G30270,39,2.9050581455230713,2.9942657366053886e-28,11.562193870544434
gehring_L1_tissue,Funiculus,AT2G46590,40,4.180404186248779,3.907989604036327e-28,11.537602424621582
gehring_L1_tissue,Funiculus,AT1G68710,41,2.202353000640869,1.1984148045217156e-27,11.437456130981445
gehring_L1_tissue,Funiculus,AT3G21420,42,3.552811622619629,1.2668815977634921e-26,11.227710723876953
gehring_L1_tissue,Funiculus,AT2G18960,43,1.3061085939407349,8.700429838722498e-26,11.054520606994629
gehring_L1_tissue,Funiculus,AT3G20470,44,1.3137221336364746,9.012899489026513e-26,11.049764633178711
gehring_L1_tissue,Funiculus,AT4G17670,45,1.9118592739105225,9.31756226048167e-26,11.045218467712402
gehring_L1_tissue,Funiculus,AT3G59010,46,2.3705692291259766,2.2145495152943615e-25,10.96564769744873
gehring_L1_tissue,Funiculus,AT5G57800,47,5.075486660003662,2.8634799052965814e-22,10.288226127624512
gehring_L1_tissue,Funiculus,AT5G54940,48,2.2805070877075195,6.256489037644984e-22,10.20974349975586
